   k          Depth           T          Pe            Pg    Prad  KappaRoss       Density      Mu      Vconv  Fconv/F                  RHOX
1         -6.036E+07      4036.1       0.021       279.600   1.460  2.001E-03     1.056E-09   1.267  0.000E+00        0          8.888118E-03
2         -5.810E+07      4070.2       0.028       362.900   1.461  2.458E-03     1.359E-09   1.267  0.000E+00        0          1.152349E-02
3         -5.584E+07      4112.4       0.036       469.800   1.461  3.024E-03     1.741E-09   1.267  0.000E+00        0          1.490266E-02
4         -5.356E+07      4156.2       0.046       607.500   1.461  3.721E-03     2.228E-09   1.267  0.000E+00        0          1.925578E-02
5         -5.126E+07      4200.8       0.060       784.700   1.462  4.582E-03     2.847E-09   1.267  0.000E+00        0          2.486026E-02
6         -4.895E+07      4245.9       0.078      1013.000   1.462  5.645E-03     3.636E-09   1.267  0.000E+00        0          3.207173E-02
7         -4.661E+07      4291.4       0.100      1306.000   1.463  6.958E-03     4.639E-09   1.267  0.000E+00        0          4.134646E-02
8         -4.427E+07      4337.2       0.129      1683.000   1.464  8.580E-03     5.915E-09   1.267  0.000E+00        0          5.326938E-02
9         -4.190E+07        4383       0.167      2168.000   1.466  1.059E-02     7.538E-09   1.267  0.000E+00        0          6.858944E-02
10        -3.951E+07      4428.9       0.215      2790.000   1.468  1.307E-02     9.602E-09   1.267  0.000E+00        0          8.826371E-02
11        -3.711E+07      4474.4       0.276      3588.000   1.470  1.614E-02     1.223E-08   1.268  0.000E+00        0          1.135165E-01
12        -3.593E+07      4497.7       0.313      4069.000   1.471  1.794E-02     1.379E-08   1.268  0.000E+00        0          1.287078E-01
13        -3.474E+07      4520.8       0.354      4613.000   1.473  1.995E-02     1.555E-08   1.268  0.000E+00        0          1.459114E-01
14        -3.355E+07      4543.8       0.401      5229.000   1.475  2.218E-02     1.754E-08   1.268  0.000E+00        0          1.653924E-01
15        -3.236E+07      4566.8       0.455      5926.000   1.478  2.466E-02     1.978E-08   1.268  0.000E+00        0          1.874496E-01
16        -3.116E+07        4590       0.515      6716.000   1.481  2.742E-02     2.231E-08   1.268  0.000E+00        0          2.124225E-01
17        -2.996E+07      4613.2       0.583      7610.000   1.484  3.050E-02     2.515E-08   1.268  0.000E+00        0          2.406935E-01
18        -2.875E+07      4636.8       0.660      8622.000   1.488  3.392E-02     2.835E-08   1.268  0.000E+00        0          2.726928E-01
19        -2.754E+07      4660.6       0.747      9767.000   1.493  3.773E-02     3.195E-08   1.268  0.000E+00        0          3.089085E-01
20        -2.632E+07      4684.8       0.846     11060.000   1.499  4.198E-02     3.601E-08   1.268  0.000E+00        0          3.498921E-01
